Quarter,Date,School Name,UNITID,Fossil Fuel Exposure,Divested?,Type of Divestment,Reversed Decision,Reversal Quarter
2014 Q4,21-Nov-14,American University,131159,,No,NA,Yes,2020 Q2
2015 Q1,24-Feb-15,Amherst College,164465,,No,NA,Yes,2021 Q1
2014 Q1,21-Jan-14,Bates College,160977,,No,NA,No,
2014 Q1,14-Feb,Boston College,164924,,No,NA,No,
2012 Q4,7-Dec-12,Bowdoin College,161004,,No,NA,No,
2013 Q4,27-Oct-13,Brown University,217156,,No,NA,Yes,2020 Q1
2013 Q3,18-Aug-13,Bryn Mawr College,211273,,No,NA,No,
2015 Q4,12-Nov-15,Carleton College,173258,,No,NA,Yes,2023 Q1
2013 Q4,1-Oct-13,CUNY Bernard M Baruch College,190512,,No,NA,No,
2013 Q4,1-Oct-13,CUNY Borough of Manhattan Community College,190521,,No,NA,No,
2013 Q4,1-Oct-13,CUNY Bronx Community College,190530,,No,NA,No,
2013 Q4,1-Oct-13,CUNY Brooklyn College,190549,,No,NA,No,
2013 Q4,1-Oct-13,CUNY City College,190567,,No,NA,No,
2013 Q4,1-Oct-13,CUNY Graduate School and University Center,190576,,No,NA,No,
2013 Q4,1-Oct-13,CUNY Hostos Community College,190585,,No,NA,No,
2013 Q4,1-Oct-13,CUNY Hunter College,190594,,No,NA,No,
2013 Q4,1-Oct-13,CUNY John Jay College of Criminal Justice,190600,,No,NA,No,
2013 Q4,1-Oct-13,CUNY Kingsborough Community College,190619,,No,NA,No,
2013 Q4,1-Oct-13,CUNY LaGuardia Community College,190628,,No,NA,No,
2013 Q4,1-Oct-13,CUNY Lehman College,190637,,No,NA,No,
2013 Q4,1-Oct-13,CUNY Medgar Evers College,190646,,No,NA,No,
2013 Q4,1-Oct-13,CUNY New York City College of Technology,190655,,No,NA,No,
2013 Q4,1-Oct-13,CUNY Queens College,190664,,No,NA,No,
2013 Q4,1-Oct-13,CUNY Queensborough Community College,190673,,No,NA,No,
2013 Q4,1-Oct-13,CUNY School of Law,190682,,No,NA,No,
2013 Q4,1-Oct-13,CUNY York College,190691,,No,NA,No,
2015 Q2,15-May,Colorado College,126678,,No,NA,No,
2013 Q2,18-Apr-13,Cornell University,190415,,No,NA,Yes,2020 Q2
2014 Q1,14-Mar,Davidson College,198385,,No,NA,No,
2014 Q4,24-Nov-14,Duke University,198419,,No,NA,No,
2014 Q2,30-Apr-14,Fort Lewis College,127185,,No,NA,No,
2016 Q1,3-Mar-16,George Washington University,131469,,No,NA,Yes,2020 Q2
2013 Q4,3-Oct-13,Harvard University,166027,,No,NA,Yes,2021 Q3
2013 Q4,5-Nov-13,Haverford College,212911,,No,NA,No,
2015 Q4,21-Oct-15,Massachusetts Institute of Technology (MIT),166683,,No,NA,No,
2013 Q3,28-Aug-13,Middlebury College,230959,,No,NA,Yes,2019 Q1
2015 Q1,26-Mar-15,New York University,193900,,No,NA,No,
2016 Q3,21-Sep-16,Notre Dame University (University of Notre Dame),152080,,No,NA,No,
2015 Q3,12-Aug-14,Oregon State University,209542,,No,NA,Yes,2017 Q1
2013 Q3,24-Sep-13,Pomona College,121345,,No,NA,No,
2015 Q2,15-Apr-15,Princeton University,186131,,No,NA,Yes,2021 Q2
2014 Q3,17-Jul-14,Reed College,209922,,No,NA,No,
2015 Q2,1-Jun-15,Santa Clara University,122931,,No,NA,No,
2013 Q4,11-Oct-13,Swarthmore College,216287,,No,NA,No,
2014 Q1,14-Feb,Tufts University,168148,,No,NA,No,
2014 Q2,23-Apr-14,Tulane University (of Lousiana in IPEDS),160755,,No,NA,No,
2015 Q2,15-Apr,University of Colorado (Systems Office),128300,,No,NA,No,
2015 Q4,4-Dec-15,University of Michigan-Ann Arbor,170976,,No,NA,Yes,2021 Q1
2015 Q4,4-Dec-15,University of Michigan-Dearborn,171137,,No,NA,Yes,
2015 Q4,4-Dec-15,University of Michigan-Flint,171146,,No,NA,Yes,
2015 Q3,30-Sep-15,(The) University of Montana,180489,,No,NA,No,
2015 Q3,30-Sep-15,(The) University of Montana - Western,180692,,No,NA,No,
2016 Q2,16-Apr,University of Oregon,209551,,No,NA,No,
2014 Q1,14-Mar-14,University of Rhode Island,217484,,No,NA,No,
2013 Q4,2-Dec-13,The University of Tennessee-Chattanooga,221740,,No,NA,No,
2013 Q4,2-Dec-13,The University of Tennessee-Health Science Center,487010,,No,NA,No,
2013 Q4,2-Dec-13,The University of Tennessee-Knoxville,221759,,No,NA,No,
2013 Q4,2-Dec-13,The University of Tennessee-Martin,221768,,No,NA,No,
2013 Q4,1-Dec,University of Vermont,231174,,No,NA,Yes,2020 Q3
2013 Q4,1-Dec-13,Vassar College,197133,,No,NA,Yes,2021 Q4
2014 Q2,22-Apr-14,Washington University at (in) St. Louis ,179867,,No,NA,No,
2014 Q1,7-Mar-14,Wellesley College,168218,,No,NA,Yes,2021 Q2
2014 Q1,7-Feb-14,Whitman College,237057,,No,NA,Yes,2018 Q4
2015 Q3,10-Sep-15,Williams College,168342,,No,NA,Yes,2022 Q2
2016 Q3,22-Sep-16,University of Pennsylvania,215062,,No,NA,Yes,2022 Q3
2017 Q1,24-Jan,University of Denver,127060,,No,NA,No,
2016 Q3,11-Jul,Northeastern University,167358,,No,NA,No,
2016 Q3,1-Jul,University of Utah,230764,,No,NA,No,
2017 Q1,8-Feb,Grinnell College,153384,,No,NA,No,
2017 Q2,13-Apr,Mount Holyoke College,166939,,No,NA,No,
2016 Q3,,Columbia University in the City of New York,190150,,No,NA,Yes,2017 Q1
2014 Q1,,Seattle University,236595,,No,NA,Yes,2018 Q3
2014 Q3,,Yale University,130794,,No,NA,Yes,2016 Q2
2016 Q2,,Stanford University,243744,,No,NA,No,
2016 Q4,,Brandeis University,165015,,No,NA,Yes,2018 Q4
2020 Q1,20-Feb-20,Northwestern University,147767,,No,NA,No,